company,introduction,end_market,industry,link,link_corrected
ASIS Scientific,Scientific equipment and consumables distribution,Science,Wholesale trade,http://www.asisscientific.com.au,https://asisscientific.com.au/
Asset Edge,"Asset inspection and maintenance management solutions to local, state and federal government authorities",Inspection and maintenance,IT - Software,https://assetedge.com.au/AboutUs,https://assetedge.com.au/AboutUs
Assure,EAP services,"Corporate, retail",Healthcare,https://assureprograms.com.au/about-assure/,https://assureprograms.com.au/
Astral Scientific,"Science, diagnostic and pharmacy supplies distributor","Life science, diagnostic, pharma",Wholesale trade,http://astralscientific.com.au/about/,https://astralscientific.com.au/pages/about-us
Elevate Education,"Elevate's high impact seminars & workshops help students improve their study techniques, increase motivation, build confidence, and lift exam performance.",Education,Education,http://au.elevateeducation.com/about,https://au.elevateeducation.com/about
Koala,Online mattress and couch sales,Retail,Retail trade,https://au.koala.com/,https://au.koala.com/
AuctionsPlus,real-time internet auctions for livestock and commodities,Agriculture,Agriculture,https://auctionsplus.com.au,https://auctionsplus.com.au/
Auscoil,CSG drilling services provider,CSG services,"Mining, oil and gas",,https://auscoil.com.au/
Australian Environmental Services,"Slashing, aquatic weed harvesting & control and ground maintenance",Pest control,"Services - professional, scientific, and technical",https://ausenviro.com.au/,https://ausenviro.com.au/
AIS Australian Instrument Services ,Sales and service of laboratory instruments,Distribution,Wholesale trade,https://ausinst.com.au/about/,https://ausinst.com.au/about/
Aussom Family Day Care,"Childcare services (before and after school care, weekend care, 24 hour care etc.)",Childcare services,Education,http://www.aussom.com.au/,https://aussom.org/
The Australian Education Academy,"RTO (Business, IT, Languages, Hospitality, Automotive)","Business, IT, Languages, Hospitality, Automotive",Education,http://www.aust-education.com.au/,https://aust-education.com.au/
Austest Laboratories,"Testing and certification services for manufacturers, importers and exporters",Certification and compliance,"Services - professional, scientific, and technical",https://austest.com.au/about-us/,https://austest.com.au/about-us/
AutumnCare,Aged care clinical and medication management software,Aged care,Healthcare,https://autumn.care/,https://autumn.care/
AVT Paints,Paint manufacturer,Paint,Manufacturing,,https://avtpaints.com/
Azzo,Energy management and sustainability solutions,Energy efficiency,"Services - professional, scientific, and technical",http://azzo.com.au/,https://azzo.com.au/
B. One Hub,Energy monitoring device provider,Energy efficiency,IT - Software,b1hub.com.au/,https://b1hub.com.au/
Ballarat Allergy Clinic,Specialist services for allergies,Allergy,Healthcare,https://ballaratallergyclinic.com.au/,https://ballaratallergyclinic.com.au/
Banksia Scientific Company,Scientific equipment distribution,Science,Wholesale trade,https://banksiascientific.com.au/,https://banksiascientific.com.au/
Bastion Collective,"Marketing, Advisory and Consultancy",,Services - other,https://www.bastioncollective.com/our-businesses,https://bastioncollective.com/us/what-we-do/
Baxter Laboratories,Pharmaceuticals products,Pharma,Manufacturing,http://www.baxterlaboratories.com/about-us/,https://baxterlaboratories.com/about-us/
Dog and Bone Pty Ltd,Mobile products,Consumer products,Manufacturing,,https://bcorporation.net/directory/dog-and-bone-pty-ltd
Beakon,GRC software for business management of risk and control,Corporate risk,IT - Software,https://beakon.com.au/about-us/,https://beakon.com.au/about-us/
BEC Feed Solutions,"Manufacturer of premixes, feed ingredients and stock feed commodities to livestock industry",Agriculture,Manufacturing,https://becfeedsolutions.com.au/about-us/,https://becfeedsolutions.com.au/about-us/
Swim Fit,Swimming pool operator,Swimming pools,"Arts, entertainment and recreation",,https://belgravialeisure.com.au/
Bellroy,Consumer discretionary retail products,Consumer products,Manufacturing,,https://bellroy.com/
Bespoke Medical Innovations Pty Ltd,Distributes primary and custom orthopaedic implant products,Orthopaedic,Healthcare,http://www.bespokemedical.com.au/,https://bespokemedical.com.au/
Biological Associates,Distributor of consumables and equipment for the welfare of research rodents,Laboratory animal research,Wholesale trade,https://biologicalassociates.com.au/,https://biologicalassociates.com.au/
Biological Sevices,Biological pest control agents in horticulture,Pest Control,Manufacturing,http://www.biologicalservices.com.au/index.html,https://biologicalservices.com.au/
Biotest,specialty food and pharmaceutical testing services industry,Testing services,"Services - professional, scientific, and technical",http://www.biotestlab.com.au/,https://biotestlab.com.au/
Black Mount Natural Spring Water,Bottled water supplier,Water,Manufacturing,http://www.blackmount.com.au/,https://blackmount.com.au/
BlueDot,Geolocation SW,Service / Retail providers,IT - Software,,https://bluedot.io/
Lane Four Management Group,Leasing and infrastructure for public pools,Public pools,"Arts, entertainment and recreation",http://www.lane4aquatics.com.au/,https://bluefit.com.au/
BlueFit Leisure,Leasing and infrastructure for public pools,Leisure complex,"Arts, entertainment and recreation",http://bluefit.com.au/,https://bluefit.com.au/
Bluegem Software,RTO software solutions provider,Education software,IT - Software,http://bluegem.com.au/,https://bluegem.com.au/
Blue Harvest,"Mussel, prawn and oyster farming, distribution and marketing",Mussels,Manufacturing,http://blueharvest.com.au/,https://blueharvest.com.au/
Bluleader,Customer experience systems integration and consulting services,IT implementations,"Services - professional, scientific, and technical",https://www.bluleader.com.au/,https://bluleader.com.au/
Bowra & O'Dea Funeral Directors,Funeral services,Funeral services,Services - other,www.bowraodea.com.au,https://bowraodea.com.au/
Bow Wow Meow,Pet insurance,Pets,Finance and insurance,https://bowwowinsurance.com.au/,https://bowwowinsurance.com.au/
Best Practice Software,Medical and administrative software solutions,Medical practices,IT - Software,www.bpsoftware.net,https://bpsoftware.net/
Brasv Group,Facilities management services,Services - other,Services - other,http://brasvgroup.com.au/about-us/,https://brasvgroup.com.au/about-us/
Bright and Duggan,Strata / body corporate managers,Real estate,Services - accommodation and food,,https://bright-duggan.com.au/
Bright Software,enterprise mobile business applications,SME,IT - Software,http://brightsoft.com.au/,https://brightsoft.com.au/
Ladoo / Brolly,Social media archiving service to local governments,Social media communication,IT - Software,https://brolly.com.au/,https://brolly.com.au/
Bugs for Bugs,Supplier of biological control agents,Pest Control,Manufacturing,https://bugsforbugs.com.au/,https://bugsforbugs.com.au/
Cam Art,"Online arts, craft, technology supplies",Education,Retail trade,https://www.camartech.com.au/,https://camartech.com.au/
CAMMS,Enterprise risk management software,Risk,IT - Software,http://cammsrisk.com/why-camms/,https://cammsrisk.com/why-camms/
CampaignAgent,Real estate agent software,Real estate,IT - Software,https://campaignagent.com.au/,https://campaignagent.com.au/
Canopy Tools Group,IoT asset management and cyber security solutions provider,Asset management and cyber security,IT - Software,https://canopytools.com/why-us/,https://canopytools.com/why-us/
Captegra Group,Business process automation platform to financial services industry,GRC,IT - Software,https://captegra.com/About-Us,https://captegra.com/About-Us
Coco Carbon,Teeth whitening product manufacturing,Cosmetics,Manufacturing,,https://carboncoco.com/
Carbonix,Drone technology,UAVs,Manufacturing,,https://carbonix.com.au/
carbonTRACK,Energy management software and hardware,Energy,IT - Software,https://carbontrack.com.au/,https://carbontrack.com.au/
Carlisle Health,Radiology clinic roll-up,Radiology,Healthcare,,https://carlislehealth.com.au/team/
Knowledge Warehouse,"Contact centres, market research with healthcare professionals database",Marketing services,Services - other,http://cdmdirect.com.au/about/,https://cdmdirect.com.au/about/
Central Agri Group,"Vertically integrated beef market operator (farm, processing, export)",tbc,Agriculture,tbc,https://centralagrigroup.com.au/
CETA Australia,Energy measurement devices distribution,Energy efficiency,IT - Hardware,https://www.cetameter.com/about-ceta,https://cetameter.com/about-ceta
Clean Food Training,RTO,Food safety,Education,,https://cft.com.au/
Kid Sense Child Development,Occupational therapy and speech pathology paediatric services,Childcare,Healthcare,www.childdevelopment.com.au,https://childdevelopment.com.au/
Cider House IT,Veterinary practice management software including CHS Vet,Veterinary,IT - Software,https://chsvet.com/,https://chsvet.com/
Swan Group,Payday consumer lending,Consumer,Finance and insurance,https://cignoloans.com.au/,https://cignoloans.com.au/
City Venue Management,Leasing and infrastructure for public pools,Leisure complex,"Arts, entertainment and recreation",http://cityvenuemanagement.com.au/,https://cityvenuemanagement.com.au/
CocoOil,Sunscreen / lotion brand,Skincare,Retail trade,,https://cocooil.com.au/
Code House,Workforce management and software development,SME,IT - Software,http://codehouse.com.au/,https://codehouse.com.au/
Compliance Experts,Compliance software and consulting services,Corporate risk,IT - Software,http://complianceexperts.com/audit-risk-and-compliance-solutions/,https://complianceexperts.com/audit-risk-and-compliance-solutions/
Comtest Laboratories,Compliance and testing services to the electrical and telecommunications space,Compliance and testing,"Services - professional, scientific, and technical",http://comtest.com.au/,https://comtestlabs.com/
Project Maven,surfboard and stand up paddle board manufacturer and retailers,Sporting goods retailing sector,Retail trade,,https://consultmaven.co.nz/our-work
ContactsLaw,Legal practice management software to legal industry,Legal,IT - Software,http://contactslaw.com.au/product-overview/,https://contactslaw.com.au/product-overview/
Coreplus,Practice management software,Healthcare,IT - Software,http://coreplus.com.au/about-us/,https://coreplus.com.au/about-us/
Core Vision,Faciity management software,Energy efficiency,IT - Software,http://www.corevision.com.au/,https://corevision.com.au/
Corncobology,Corn cob bedding and consumables distribution,Distribution,Manufacturing,http://corncobology.com.au/,https://corncobology.com.au/
CPS Global,Commercial property solutions,Commercial property services,Real estate,http://cpsglobal.com/,https://cpsglobal.com/
Cubbyhouse Childcare,Before and after school care services in NSW,Childcare services,Education,http://cubbycc.com.au/,https://cubbycc.com.au/
Cyberity,Cyber security services provider,Cyber risk,"Services - professional, scientific, and technical",https://cyberity.com.au/#!/about,https://cyberity.com.au/
Cybernetic Global Intelligence,Cyber security services provider,Cyber risk,"Services - professional, scientific, and technical",https://cyberneticgi.com/global-cyber-security/,https://cyberneticgi.com/
Cyber Research,Cyber security services provider,Cyber risk,"Services - professional, scientific, and technical",https://cyberresearch.co/about-us/,https://cyberresearch.co/services/
Cyber Security Hub,Security and penetration testing software and services provider,Cyber risk,"Services - professional, scientific, and technical",https://cybersechub.com.au/,https://cybersechub.com.au/
Cyco Platinum Series,Manufacturer of pharmaceutical grade hydroponic nutrients and additives for the indoor/outdoor gardening industry,Horticulture,Manufacturing,,https://cycoflower.com/aus/contact/
Daronmont Technologies,Offers products and services to the Defence Electronics sector,Defence,Manufacturing,https://daronmont.com.au/about-us/,https://daronmont.com.au/about-us/
DataTorque,Cutomer management & revenue collection software,Tax,IT - Software,http://datatorque.com/,https://datatorque.com/
Dux College,School student tutoring,Tutoring,Education,http://www.duxcollege.com.au/,https://dc.edu.au/
DDH Graham,Superannuation administration and management services,Finance and insurance,Finance and insurance,https://ddhgraham.com.au/,https://ddhgraham.com.au/
Defries Industries,Medical equipment,Medial equipment,Healthcare,www.defries.com.au,https://defries.com.au/
Dementia Caring,In-home support services for people living with dementia (roll-up),Allied healthcare services,Healthcare,https://www.dementiacaring.com.au/,https://dementiacaring.com.au/
Dentavision,"Distributor of dental equipment and consumables (oral health, cosmetic, surgical)",Medical equipment,Healthcare,http://www.dentavision.com.au/,https://dentavision.com.au/
Dermcare-Vet,Veterinary and animal health products,Veterinary / agriculture,Manufacturing,,https://dermcare.com.au/
Deutsch Medical,Deutsch Medical offers highest quality Radiation Protection equipment for medical professionals.,"Hospitals, veterinarians and dental professionals",Healthcare,http://deutschmedical.com.au/about-us/,https://deutschmedical.com.au/pages/about-us
Fine Arts Bourse,Digital market place for digital diamond auctions,Consumers,IT - Software,https://diamondauction.net/,https://diamondauction.net/
Diamond Cyber Security,Cyber security services provider,Cyber risk,"Services - professional, scientific, and technical",https://diamondcyber.com/company/,https://diamondcyber.com/company/
Direct National,"Our product range includes state of the artÿaudiovisualÿequipment,ÿInteractive Whiteboards,ÿlaminating machinesÿand supplies, binding machines and supplies, guillotines and trimmers just to name a few.",Education,IT - Hardware,https://directnational.com.au/about-us/,https://directnational.com.au/about-us/
Dobsons,Manufacturer of school uniforms,Education,Manufacturing,https://dobsons.com.au/about/heritage/,https://dobsons.com.au/about/heritage/
Australian Pet Transport,Provider of domestic and international pet transport,Transportation,Transport,https://dogmovers.com.au/pet-transport-service-nsw-qld/,https://dogmovers.com.au/pet-transport-service-nsw-qld/
Dogue,Dog consumables and services provider,Accommodation and pampering needs,"Services - professional, scientific, and technical",https://dogue.com.au/about/,https://dogue.com.au/about/
Donesafe,Workforce safety / OH&S,"Construction, retail, restaurants",IT - Software,www.donesafe.com,https://donesafe.com/
Dresden Optics,Optical glasses retailing,Optical,Retail trade,https://dresden.com.au/,https://dresden.vision/
Driven x Design,". DRIVENxDESIGN is ""born global"" business operating in Melbourne, Sydney, New York, San Francisco, London, Berlin, Hong Kong. We deal in Design Experience, which is now a major area of focus by CEOs, Boards and Strategists globally, as 80% of the bi",Design,Services - administrative and support,,https://drivenxdesign.com/
Eastern Suburbs Dermatology,Dermatology Clinic,Dermatology,Healthcare,http://easternsuburbsderm.com.au/,https://easternsuburbsderm.com.au/
EasyOxygen,Portable & home oxygen concentrator distribution,Respiratory,Healthcare,https://www.easyoxygen.com.au/,https://easyoxygen.com.au/
Equator Information Technology,Software to Higher Education,Higher Education,IT - Software,https://ebecas.com.au/about/,https://ebecas.com.au/about/
Echo Group,"Energy, site and waste manufacturing solutions",Energy efficiency,Manufacturing,https://echogroup.co/#solutions,https://echogroup.co/
Recycal,Specialist service provider,Recycling,"Services - professional, scientific, and technical",http://www.cmaecocycle.net,https://ecocycle.com.au/
Eden Laser Clinics,dermatology and cosmetic medicine,Skin care,Healthcare,Edenlaserclinics.com.au,https://edenlaserclinics.com.au/
Edge Early Learning,Early learning centres,Early learning centres,Education,,https://edgeearlylearning.com.au/
Education Personnel Ltd,K-12 Relief & Permanent Teacher recruitment,K-12,Education,www.edperson.co.nz,https://edperson.co.nz/
Edstart,School fees finance,Education,Finance and insurance,https://edstart.com.au,https://edstart.com.au/
The National Education Directory of Australia,Online schools database,K-12,Education,http://www.education.net.au/,https://education.abc.net.au/
Edutemps,a flexible workforce for RTO?s and training organisations to be able to respond to operational demands and opportunitie,HR,Education,https://edutemps.com.au/,https://edutemps.com.au/
Efex,"Print, IT, network, cloud and voice and data finance solutions",Managed print services,Finance and insurance,,https://efex.com.au/about-us/
Elisa Systems,"food allergen test kits Noncommercial research organizations, nsk",Consumers,Services - other,http://www.elisasystems.com/,https://elisasystems.com/
Emeritus Research,"clinical research center Commercial physical research, nsk",Research organizations,"Services - professional, scientific, and technical",https://www.emeritusresearch.com/,https://emeritusresearch.com/
EnergyExemplar,Energy utility SaaS analytics,Energy,IT - Software,www.energyexemplar.com,https://energyexemplar.com/
Energy Lab,Energy efficiency assessment solutions,Energy efficiency,"Services - professional, scientific, and technical",http://energylab.com.au/about/profile#/,https://energylab.com.au/about/profile
Gourmet Burger Co,Burger Chain,QSR operator,Retail trade,,https://en-gb.facebook.com/gourmetburgercowarkworth/
Enosys Solutions,Specialty IT services,IT application services,"Services - professional, scientific, and technical",www.enosys.com.au,https://enosys.com.au/
Enteruptors,Regulatory technology solution,GRC,IT - Software,https://enteruptors.com/about-us/,https://enteruptors.com/about/
ENT Technologies,Medical device and consumable distribution for nasal care,Distribution,Healthcare,http://www.enttech.com.au/about/,https://enttech.com.au/about-flo-nasal-products/
Enviro Concepts,"Provides products and services for waste water management, wash effluent discharge and water purification",Water management,"Services - professional, scientific, and technical",https://enviroconcept.com.au/,https://enviroconcept.com.au/
Ennova / Envision,Connecting field and office teams,Commercial construction,IT - Software,www.envisionapp.com,https://envisionapp.com/
Envizi,Energy and sustainability management software,Energy efficiency,IT - Software,http://envizi.com/solutions/utility-expense-management/,https://envizi.com/solutions/utility-expense-management/
EP&T Pty Ltd,Energy efficiency technology for commercial properties,Energy efficiency,"Services - professional, scientific, and technical",http://eptglobal.com/about/,https://eptglobal.com/about/
eQstats,GRC software for healthcare in AU,Corporate risk,IT - Software,https://eqstats.com.au/about/,https://eqstats.com.au/about/
ERGT Australia,"ERGT Australia (RTO 2534) is the nation?s leading specialist training provider in safety, survival and emergency response training for high risk industries. Since 1994, ERGT has built a solid reputation in providing safety training through people, processes, products and attention to detail. We deliver AVI-Helicopter Underwater Escape Training (AVI-HUET) in 9 convenient locations around Australia.",Safety,Education,http://www.ergt.com.au/about-us/about-us,https://ergt.edu.au/about-us/
Project Vision,"Online retail of sunglasses, prescription glasses and contact lenses",Optometry,Retail trade,,https://estimateone.com/project/vision-australia-ringwood-and-sunshine-fit-outs
eTellicom Pty. Ltd,VOIP solutions,VOIP,Telecommunications,www.etellicom.com,https://etellicom.com/
The Universal Care Management Group / e-Tools Software,"Aged care management software for residential care, home care, home support and disability services",Aged care,Healthcare,https://e-tools.com.au/,https://e-tools.com.au/
Event Hub,Events and venue software,Events,IT - Software,http://eventhub.com.au/,https://eventhub.com.au/
Water Quality Solutions,Treats water for resue in site operations,Water management,"Services - professional, scientific, and technical",http://evocra.com.au/about-us/our-story,https://evocra.com.au/about-us/our-story
Water Quality Solutions,,Water management,"Services - professional, scientific, and technical",http://evocra.com.au/about-us/our-story,https://evocra.com.au/about-us/our-story
Guardian Global Systems,Corporate real estate & workplace management systems solutions to different industries,Facilities management,IT - Software,http://www.guardianglobalsystems.com/,https://explore.leaseaccelerator.com/products/lease-administration-software/real-estate-lease-administration-software/
Explore and Develop Childcare,20 childcare center operation,tbc,Education,tbc,https://exploreanddevelop.com.au/about-us/
Expressway Spares,Spare parts provider for earthmoving industry,Equipment Finance,Retail trade,http://www.expressway.com.au/,https://expressway.com.au/
Eziway Group,Salary packaging and car leasing,Salary packaging,Finance and insurance,http://eziway.net.au/,https://eziway.net.au/
FastTrack Pty Ltd,"Recruit, pay and bill services to the temporary workforce and recruitment industries",Workforce and recruitment,Services - administrative and support,,https://fasttrack.com.au/
Finance One,Vehicle finance,Vehicles,Finance and insurance,https://financeone.com.au,https://financeone.com.au/
Finch Australia,Caravan add-on products manufacturing,Leisure,Manufacturing,https://finchaustralia.com.au/,https://finchaustralia.com.au/
Fire Boar,Fire safety services,Testing and compliance,"Services - professional, scientific, and technical",http://fireboar.com.au/,https://fireboar.com.au/
First Aid Plus Australia,"First aid supplies, kits, and training equipment","RTOs, hospitality",Education,http://www.firstaidplus.com.au/,https://firstaidplus.com.au/
Animal Hospital of Australia,Veterinary hospitals,Veterinary,Healthcare,http://fitzroyvet.com.au/,https://fitzroyvet.com.au/
Flat Planet,Connect and facilitate businesses in outsourcing their back-office operations to the Philippines,SME,Services - administrative and support,http://www.flatplanet.com.au/,https://flatplanet.com.au/
Focus Subsea,Oil & gas services,Oil & gas,"Services - professional, scientific, and technical",http://www.focus-subsea.com/,https://focus-subsea.com/
Footsteps Dance Company,"Dance, social emotional learning",Primary and secondary education,Education,http://footstepsdancecompany.com.au/,https://footstepsdancecompany.com.au/
Force Fire,Fire protection systems installation,Fire safety equipment,Construction,http://forcefire.com.au/,https://forcefire.com.au/
Forrest Training,Vocational training,"Computer software, professional development",Education,http://www.forresttraining.com.au/,https://forresttraining.com.au/
Freestyle Technology Pty Ltd,Internet of things,Internet of Things,IT - Software,http://freestyletechnology.com.au/,https://freestyletechnology.com.au/
Future Grid Pty Ltd,IoT data processing,IoT,IT - Software,http://www.future-grid.com.au/,https://future-grid.com/
Genera,"Provider of biosecurity treatments, treatment of stored grains and produce, phytosanitary compliance, and pest management",Pest Control,"Services - professional, scientific, and technical",http://www.genera.co.nz/,https://genera.co.nz/
General Pump Company,"Domestic, industrial and commercial pumping solutions",Pumps,Manufacturing,https://generalpumps.com.au/about/,https://generalpumps.com.au/about/
Genesearch,"biotech R&D Commercial physical research, nsk",Biotech,"Services - professional, scientific, and technical",http://genesearch.com.au/about-us/about-genesearch/,https://genesearch.com.au/about-us/about-genesearch/
Geospatial Intelligence,"Geospatial solutions to defence, government and industry",Defence,IT - Software,https://geoint.com.au/,https://geoint.com.au/
Comfac Technology Options / Geras,Aged care facility management software,Aged care,Healthcare,https://geras.co.nz/about-us/,https://geras.co.nz/about-us/
Atomi,K-12 tutoring services,Education Services,Education,https://getatomi.com/,https://getatomi.com/
Global Road Technology,Specialist service provider,Mining,"Mining, oil and gas",https://globalroadtechnology.com/,https://globalroadtechnology.com/
Uxtrata,Software for the strata and property management,Strata management,IT - Software,https://go.uxtrata.com/,https://go.uxtrata.com/
Gpsat Systems Australia,Satellite navigations and engineering services to different industries,Defence,IT - Software,https://gpsatsys.com.au/about-us/sitemap/,https://gpsatsys.com.au/
GRC Solutions,Online compliance training for GRC solutions,Corporate risk,"Services - professional, scientific, and technical",https://grcsolutions.com.au/services/compliance-training/,https://grcsolutions.com.au/services/online-compliance-training/
Green Options,Schools and stadium FM business,FM,Services - other,,https://greenoptions.com.au/
GreenSync Pty Ltd,"Supply predominantly software and some hardware to the power sector, to enable management of distributed energy resources",Power suppliers,IT - Software,https://greensync.com/about-us/,https://greensync.com/about-us/
Grenof Water Technologies,"Provides technology and solutions for water utilities, councils and municipals",Distribution,Manufacturing,http://grenof.com/about-us/,https://grenof.com/about-us/
Pymble Grove Health Centre,Specialist cancer treatment / rehab services,tbc,Healthcare,tbc,https://grovehealthpymble.com.au/our-doctors/
Geotechnical Testing Services,"Geotechnical, environmental and construction materials testing services",Testing services,"Services - professional, scientific, and technical",http://gts.com.au/,https://gts.com.au/
G.W. Tractors ,Spare tractor parts distributor,Agriculture,Wholesale trade,https://gwtractors.com.au/,https://gwtractors.com.au/
Gytech,To provide modern and innovative devices that are used to facilitate the treatment of patients within the field of Women?s Health (surgical).,Surgical,Healthcare,https://gytech.com.au/about-us/,https://gytech.com.au/about-us/
Habitat Therapeutics,Addiction treatment services,Addiction managment,Healthcare,https://habtherapy.com.au/get-help/residential-recovery-programs/,https://habitattherapeutics.com.au/get-help/drug-alcohol-rehab-melbourne/
Hahn Healthcare,Provides services and solutions to the pharmaceutical and medical device industries,Health,Healthcare,https://hahnhealthcare.com.au/,https://hahnhealthcare.com.au/
Hammer Technologies,Safety management software to construction industry,Safety management,IT - Software,http://hammertech.com.au/,https://hammertechglobal.com/
Hasmate,Health and safety consultancy service and software,Health and Safety management,IT - Software,https://hasmate.co.nz/about-us/,https://hasmate.co.nz/about-us/
Hazair,Aerial agricultural and maintenance services,Pest control,"Services - professional, scientific, and technical",http://hazair.com.au/about/,https://hazair.com.au/about/
Health Metrics,Aged care management software and consulting services,Aged care,Healthcare,https://healthmetrics.com.au/about-us-3/,https://healthmetrics.com.au/about-us-3/
HealthSafe,Health and safety consultancy service and software,Health and Safety management,IT - Software,https://healthsafe.co.nz/about/,https://healthsafe.co.nz/about/
Helisika Agricultural Ltd,Helicopter services provider,Pest control,"Services - professional, scientific, and technical",https://helisikahelicopters.co.nz/about-us/,https://helisikahelicopters.co.nz/about-us/
Hills Tankers,Dangerous liquids transport provider,Transport services,Transport,https://www.hillstankers.com.au/who-we-are/,https://hillstankers.com.au/who-we-are/
H.I.S. Hose,Industrial products distribution and services to different industries,Rubber,Wholesale trade,https://hishose.com.au/,https://hishose.com.au/
HMS Group,Mining machinery manufacturing,Mining,Manufacturing,https://hms-group.com.au/,https://hms-group.com.au/
KPMG Super,Superannuation platform,Superannuation platform,Finance and insurance,,https://home.kpmg/nz/en/home/insights/2019/06/australia-and-new-zealand-subsidiaries-where-are-you-resident.html
Horizontal Falls Seaplane Adventures,Seaplane tour operator services,Seaplanes,"Arts, entertainment and recreation",https://horizontalfallsadventures.com.au/,https://horizontalfallsadventures.com.au/
HoseCo,"Industrial and hydraulic hose management, inspection / shut down services and supply",Hydraulic and industrial engineering services,Manufacturing,,https://hoseco.com.au/
House Call Doctor,Homecall GP service,Homecare,Healthcare,https://housecalldoctor.com.au/,https://housecalldoctor.com.au/
HubHello,Early education centre management software,Early education,IT - Software,https://hubhello.com/,https://hubhello.com/
HydroChem,Provides water treatment services for a diverse range of industries,Water management,"Services - professional, scientific, and technical",https://hydrochem.com.au/,https://hydrochem.com.au/
IG3 Education,Education software and hardware,Education,IT - Hardware,www.ig3education.com.au,https://ig3education.com.au/
Tenderlink.com,Tender software platform,Procurement software,IT - Hardware,,https://illion.tenderlink.com/
ILS Group,Medical and homecare equipment distribution and services,Homecare,Healthcare,http://ilsau.com.au/about/,https://ilsau.com.au/about/
iMedX,Medical transcription services,Healthcare,"Services - professional, scientific, and technical",,https://imedx.com/au/testimonial/transcription-manager-new-zealand/
Impac,Workplace health and safety solutions,Health and Safety management,IT - Software,https://impac.co.nz/about/,https://impac.co.nz/
ImPOS,Point of sale to the hospitality industry,Point of sale systems,Services - accommodation and food,www.impos.com.au,https://impos.com.au/
InkPay,Financing business for tattoos,Consumers,Finance and insurance,,https://inkpay.com/
InMed Healthcare,Distribution experience in the Medical Imaging and Diagnostic markets. Producing some of their own products.,Medical Imaging,Healthcare,https://inmed.com.au/about,https://inmed.com.au/about
Innotech,"automation of energy management systems Commercial physical research, nsk",Commercial businesses,"Services - professional, scientific, and technical",http://innotech.com.au/AboutUs.aspx,https://innotech.com/AboutUs.aspx
Innovative Medical Technologies,Specialist medical equipment distribution,Lasers,Wholesale trade,http://www.innovative.com.au/,https://innovative.com.au/
InterAktiv Health,Medical equipment and consumable supplies; veterinary equipment and supplies,Distribution,Healthcare,https://interaktivhealth.com.au/pages/about-us,https://interaktivhealth.com.au/pages/about-us
Interlease,Commercial equipment finance,Commercial equipment,Finance and insurance,www.interlease.com.au,https://interlease.com.au/
Interlink Pumps & Sprayers,manufacturer and distributor of pumps and spraying equipment,Agriculture,Manufacturing,http://www.pumpsandsprayers.com.au,https://interlinksprayers.net/
Investorist,Online B2B software solution for off the plan property,Property Services,IT - Software,http://investorist.com.au/,https://investorist.com/
iOmniscient,Video analytics software,Various,IT - Software,http://www.iomniscient.com/,https://iomni.ai/
IPscape,Contact centre software,Contact centre,IT - Software,https://www.ipscape.com.au/,https://ipscape.com.au/
ISOPro,GRC management software to different industries,GRC,IT - Software,https://isoprosoftware.com/why-isopro.html,https://isoprosoftware.com/why-isopro.html
IT Futures,IT training and certification,RTO,Education,https://itfutures.edu.au/about/,https://itfutures.edu.au/about/
J A Davey,Pharmaceutical and medical supplies distribution,Medical devices,Healthcare,http://jadavey.com.au/who-we-are/,https://jadavey.com.au/who-we-are/
Liquor Delivery Platform,Online liquor delivery service,Retail,IT - Software,,https://jimmybrings.com.au/
Arrowcrest Group,Farm machinery manufacturer,Agriculture,Manufacturing,http://johnshearer.com.au/about-us/,https://johnshearer.com.au/about-us/
Joust,Home loan comparison,Home loans,IT - Software,http://joust.com.au/,https://joust.com.au/
J & S Engineering & Maintenance,Engineering and maintenance services for mining,Mining,Manufacturing,http://jsengineering.com.au/about-us/,https://jsengineering.com.au/about-us/
Jimboomba Trailers & Fabrication,Trailer manufacturing,Trailers,Manufacturing,www.jtf.net.au,https://jtf.net.au/
The Job Training Institute,"RTO (Business, Hospitality, Disability care, Aged care, Child care)","Business, Hospitality, Disability care, Aged care, Child care",Education,http://www.jti.edu.au/,https://jti.edu.au/
JUMP! Swim Schools,Swimming coaching franchise group,Education,Education,http://jumpswimschools.com.au/,https://jumpswimschools.com.au/
JWGecko,Software and services to vocational education and training colleges,RTO,IT - Software,https://jwgecko.com/about-team-gecko.cfm,https://jwgecko.com/about-team-gecko.cfm
The Kent Institute,"TEQSA + RTO (Business, IT, Languages)","Business, IT, Languages",Education,http://kent.edu.au/,https://kent.edu.au/kent3/
Kids First,Educational and professional health centre offering services for children and families,Developmental healthcare,Healthcare,https://kids-first.com.au/about-us/?doing_wp_cron=1530249091.0094239711761474609375,https://kids-first.com.au/about-us/
Kinderloop,Childcare management software,Early education,Education,http://kinderloop.com/,https://kinderloop.com/
KindyNow,Childcare booking SW platform,Education,IT - Software,https://kindynow.com/,https://kindynow.com/
Kirana Education,Vocational education & training,RTO,Education,https://kirana.edu.au/about-us/,https://kirana.edu.au/about-us/
Konverge,"Tailored IT solutions for businesses including server, storage, network and security products and services",SME,IT - Software,https://konverge.com.au/,https://konverge.com.au/
Krash Industries,Manufacture of adrenaline watercraft,Leisure,Manufacturing,,https://krashindustries.com/
KS Environmental Group,Specialist service provider,Civil,"Services - professional, scientific, and technical",https://ksenvironmental.com.au/,https://ksenvironmental.com.au/
